iter	Logloss
0	0.6504299604
1	0.6126500979
2	0.577927251
3	0.54944464
4	0.5226976871
5	0.4982208725
6	0.476152101
7	0.454273063
8	0.4378253121
9	0.4223128119
10	0.4096416695
11	0.3970395363
12	0.3842492991
13	0.3726774898
14	0.3620196399
15	0.3512724308
16	0.3425398818
17	0.3343173568
18	0.3284101924
19	0.3199154519
20	0.3133862636
21	0.3066779186
22	0.3029549723
23	0.2967227613
24	0.2921995967
25	0.287279326
26	0.2825035277
27	0.2766704588
28	0.2722529491
29	0.268657544
30	0.2651227884
31	0.2600940556
32	0.2568484037
33	0.2540389772
34	0.2508424577
35	0.247128493
36	0.2437779015
37	0.2402550205
38	0.2373148897
39	0.2341537492
40	0.2310218883
41	0.2271671156
42	0.225340472
43	0.2231981049
44	0.2204772101
45	0.2183415607
46	0.2155757363
47	0.2131267128
48	0.2098493907
49	0.2078433222
50	0.2062787371
51	0.2036235273
52	0.2008544783
53	0.1991572824
54	0.1974079852
55	0.1964067782
56	0.194156774
57	0.1922777281
58	0.1907738071
59	0.1883100241
60	0.1867724178
61	0.1852311505
62	0.1839825128
63	0.182767313
64	0.1811477298
65	0.1798126206
66	0.1774002324
67	0.1754310629
68	0.1736371058
69	0.1723458333
70	0.1709284973
71	0.1691921601
72	0.1683533519
73	0.1669449878
74	0.1654455184
75	0.1641370195
76	0.1630451866
77	0.1616344582
78	0.1604333165
79	0.1597210714
80	0.1581569891
81	0.1567105118
82	0.1555645258
83	0.1543148787
84	0.1531107122
85	0.1517659294
86	0.1507575729
87	0.1490585138
88	0.1473621671
89	0.1464045068
90	0.1453111339
91	0.1442359426
92	0.1427455633
93	0.1418503617
94	0.1404339562
95	0.1395436746
96	0.1386429054
97	0.1379353733
98	0.1364564569
99	0.1356957387
100	0.1351666797
101	0.1344891502
102	0.1330236381
103	0.1321580664
104	0.130995476
105	0.1301033495
106	0.1290197504
107	0.128248746
108	0.1272674702
109	0.1261106555
110	0.1249772582
111	0.1242117456
112	0.1235732381
113	0.122642081
114	0.1215478048
115	0.1206785444
116	0.1195897088
117	0.1188621602
118	0.118197448
119	0.1168580489
120	0.1163362279
121	0.1152118944
122	0.1144184777
123	0.1136086072
124	0.1127372765
125	0.1120173003
126	0.1114455535
127	0.1104487644
128	0.1098263946
129	0.1091792172
130	0.1086571042
131	0.1081108714
132	0.1076206277
133	0.1069446901
134	0.1062621821
135	0.1055490202
136	0.1048431802
137	0.1044570136
138	0.1036744621
139	0.1029687133
140	0.1021022656
141	0.1012053654
142	0.1003049734
143	0.09954393147
144	0.09864023033
145	0.09784298806
146	0.09727737724
147	0.09675481528
148	0.09577400837
149	0.09502986641
150	0.09414000106
151	0.09338460914
152	0.09288193246
153	0.09216293608
154	0.09117689008
155	0.09039045953
156	0.08973556008
157	0.08888504036
158	0.08831915182
159	0.08776778312
160	0.0869622036
161	0.0861919217
162	0.08549003915
163	0.08506080247
164	0.08453130705
165	0.08381752218
166	0.08312850882
167	0.08246115679
168	0.08180859386
169	0.08142919717
170	0.08080701281
171	0.08049227313
172	0.07994815661
173	0.07949086235
174	0.07887462849
175	0.0784389594
176	0.07780917641
177	0.07748204901
178	0.07712129308
179	0.07659049311
180	0.07615963413
181	0.075745168
182	0.07508045165
183	0.0746316019
184	0.0740145576
185	0.07363949878
186	0.07308631052
187	0.07277158708
188	0.07253487072
189	0.07218132113
190	0.07169077395
191	0.07132378953
192	0.07080902891
193	0.07052068341
194	0.07023448527
195	0.06996637732
196	0.06943724702
197	0.06901852541
198	0.06871434205
199	0.06814727378
